date,open
12/13/2019,144.8679242
12/12/2019,144.048741
12/11/2019,145.645436
12/10/2019,147.4541534
12/9/2019,150.6247114
12/8/2019,147.356367
12/7/2019,148.8138452
12/6/2019,148.2188433
12/5/2019,145.4772658
12/4/2019,147.2829535
12/3/2019,148.8585924
12/2/2019,151.2990416
12/1/2019,151.3335225
11/30/2019,154.5064675
11/29/2019,150.4169756
11/28/2019,152.7503041
11/27/2019,147.3792821
11/26/2019,145.9836034
11/25/2019,140.1683268
11/24/2019,152.274326
11/23/2019,149.7754701
11/22/2019,161.002192
11/21/2019,174.4389864
11/20/2019,175.783061
11/19/2019,178.0163757
11/18/2019,183.7561806
11/17/2019,182.2887234
11/16/2019,180.1493254
11/15/2019,184.7506066
11/14/2019,188.1711258
11/13/2019,187.1610129
11/12/2019,184.8475354
11/11/2019,189.1983738
11/10/2019,184.7825888
11/9/2019,183.8651701
11/8/2019,186.6784072
11/7/2019,191.4163944
11/6/2019,188.7958172
11/5/2019,186.0142591
11/4/2019,181.7541278
11/3/2019,183.180856
11/2/2019,183.6734539
11/1/2019,181.9563592
10/31/2019,183.2505666
10/30/2019,190.7067475
10/29/2019,181.5585387
10/28/2019,183.8760885
10/27/2019,179.6754532
10/26/2019,182.2610862
10/25/2019,160.6366547
10/24/2019,162.4085148
10/23/2019,171.4024433
10/22/2019,174.1155779
10/21/2019,174.9856182
10/20/2019,171.8404087
10/19/2019,173.2861171
10/18/2019,177.2579498
10/17/2019,174.5218669
10/16/2019,180.4606229
10/15/2019,187.7214687
10/14/2019,181.1459417
10/13/2019,179.4658735
10/12/2019,180.9018169
10/11/2019,191.6490106
10/10/2019,193.8237482
10/9/2019,180.8522812
10/8/2019,180.4518129
10/7/2019,170.2276143
10/6/2019,176.3561116
10/5/2019,175.1727256
10/4/2019,175.1031598
10/3/2019,180.8681419
10/2/2019,176.0829703
10/1/2019,181.4634876
9/30/2019,169.9677329
9/29/2019,173.7797601
9/28/2019,173.9008551
9/27/2019,166.3566307
9/26/2019,170.3015969
9/25/2019,167.0117711
9/24/2019,200.5848026
9/23/2019,211.6543304
9/22/2019,215.4586522
9/21/2019,218.5527236
9/20/2019,221.7894003
9/19/2019,209.1709442
9/18/2019,208.3847715
9/17/2019,198.0829897
9/16/2019,189.8302224
9/15/2019,188.5877392
9/14/2019,181.4382007
9/13/2019,180.8263785
9/12/2019,178.4760268
9/11/2019,179.7889563
9/10/2019,180.6182926
9/9/2019,181.2739003
9/8/2019,178.621387
9/7/2019,169.1326262
9/6/2019,173.8526196
9/5/2019,174.7302625
9/4/2019,178.5312976
9/3/2019,178.551463
9/2/2019,171.2693135
9/1/2019,171.8990381
8/31/2019,168.4860693
8/30/2019,169.3428116
8/29/2019,172.8609989
8/28/2019,187.2373608
8/27/2019,188.4752337
8/26/2019,186.8233767
8/25/2019,190.8311787
8/24/2019,194.2588045
8/23/2019,189.7470614
8/22/2019,189.9340291
8/21/2019,196.9390056
8/20/2019,202.5738461
8/19/2019,194.4876781
8/18/2019,186.2743801
8/17/2019,185.1523161
8/16/2019,188.0601102
8/15/2019,188.1114007
8/14/2019,208.8664428
8/13/2019,211.2726486
8/12/2019,215.623414
8/11/2019,206.2799383
8/10/2019,211.2465147
8/9/2019,221.5399486
8/8/2019,226.5324414
8/7/2019,225.7344524
8/6/2019,232.8658663
8/5/2019,222.5978752
8/4/2019,222.0208388
8/3/2019,217.7830907
8/2/2019,217.334
8/1/2019,218.7765953
7/31/2019,209.5286123
7/30/2019,211.2146405
7/29/2019,211.490945
7/28/2019,207.4566752
7/27/2019,218.7271494
7/26/2019,218.9175601
7/25/2019,215.9255337
7/24/2019,212.3392201
7/23/2019,216.7335889
7/22/2019,226.4431105
7/21/2019,227.7529853
7/20/2019,222.9516812
7/19/2019,226.1284896
7/18/2019,211.2865282
7/17/2019,199.8849807
7/16/2019,229.0606398
7/15/2019,226.6141534
7/14/2019,269.5179059
7/13/2019,275.1805826
7/12/2019,268.1500844
7/11/2019,288.0961554
7/10/2019,306.9405291
7/9/2019,312.404126
7/8/2019,307.0987855
7/7/2019,286.0624272
7/6/2019,287.5347334
7/5/2019,281.6187539
7/4/2019,302.6794201
7/3/2019,292.5877055
7/2/2019,295.5681017
7/1/2019,292.0006105
6/30/2019,320.1308048
6/29/2019,309.7488068
6/28/2019,293.8871466
6/27/2019,334.0597632
6/26/2019,316.6516756
6/25/2019,311.6636153
6/24/2019,306.8363914
6/23/2019,309.837374
6/22/2019,295.0956433
6/21/2019,272.6648229
6/20/2019,269.021376
6/19/2019,264.6526963
6/18/2019,273.9752464
6/17/2019,269.0351897
6/16/2019,268.5238385
6/15/2019,263.920029
6/14/2019,255.6687105
6/13/2019,261.716326
6/12/2019,245.052366
6/11/2019,248.0451678
6/10/2019,230.8244614
6/9/2019,243.8480012
6/8/2019,249.0639404
6/7/2019,250.011068
6/6/2019,245.4286989
6/5/2019,241.6799162
6/4/2019,247.1100587
6/3/2019,269.0542374
6/2/2019,264.175838
6/1/2019,267.5789719
5/31/2019,254.3148854
5/30/2019,266.0623106
5/29/2019,267.8155138
5/28/2019,268.6411727
5/27/2019,264.9845641
5/26/2019,252.791357
5/25/2019,251.5193204
5/24/2019,249.3229191
5/23/2019,246.4270547
5/22/2019,255.0954635
5/21/2019,252.5290644
5/20/2019,259.7882665
5/19/2019,232.6517678
5/18/2019,245.7757058
5/17/2019,263.5282493
5/16/2019,248.4769856
5/15/2019,217.7809293
5/14/2019,195.8201273
5/13/2019,187.9255106
5/12/2019,194.1216118
5/11/2019,173.121937
5/10/2019,171.30867
5/9/2019,171.5330931
5/8/2019,167.7690504
5/7/2019,175.2491783
5/6/2019,165.9525515
5/5/2019,164.2781765
5/4/2019,168.3747159
5/3/2019,161.4611382
5/2/2019,161.0742799
5/1/2019,163.392434
4/30/2019,161.3799019
4/29/2019,158.806962
4/28/2019,159.6711662
4/27/2019,157.9952468
4/26/2019,153.7051342
4/25/2019,165.5263316
4/24/2019,169.9351886
4/23/2019,175.0205771
4/22/2019,170.5272959
4/21/2019,173.2230502
4/20/2019,173.4090313
4/19/2019,174.4123076
4/18/2019,166.4591525
4/17/2019,166.1895181
4/16/2019,160.0798272
4/15/2019,169.3416653
4/14/2019,163.6974397
4/13/2019,164.0226676
4/12/2019,164.8094578
4/11/2019,177.3454251
4/10/2019,175.2178008
4/9/2019,179.8404966
4/8/2019,174.7806159
4/7/2019,166.0081375
4/6/2019,165.3066838
4/5/2019,157.7804936
4/4/2019,160.292644
4/3/2019,164.6188615
4/2/2019,141.7377643
4/1/2019,142.4062677
3/31/2019,143.6266972
3/30/2019,144.8766945
3/29/2019,138.2122773
3/28/2019,140.2608135
3/27/2019,134.3873847
3/26/2019,134.4136274
3/25/2019,136.3021422
3/24/2019,137.6597558
3/23/2019,136.2566819
3/22/2019,136.1037554
3/21/2019,139.6699745
3/20/2019,139.027835
3/19/2019,138.2544011
3/18/2019,139.5195145
3/17/2019,141.733828
3/16/2019,137.531804
3/15/2019,132.7787395
3/14/2019,132.2857478
3/13/2019,134.5481605
3/12/2019,133.5151039
3/11/2019,136.2261168
3/10/2019,138.1578083
3/9/2019,134.3885995
3/8/2019,137.6934443
3/7/2019,140.1714969
3/6/2019,138.0141698
3/5/2019,126.5087794
3/4/2019,131.3225377
3/3/2019,134.5967472
3/2/2019,136.5113733
3/1/2019,136.7072035
2/28/2019,135.9723628
2/27/2019,139.2576112
2/26/2019,137.12
2/25/2019,139.02
2/24/2019,133.42
2/23/2019,159.48
2/22/2019,149.04
2/21/2019,146.36
2/20/2019,149.23
2/19/2019,144.4
2/18/2019,146.53
2/17/2019,134.28
2/16/2019,123.26
2/15/2019,122.02
2/14/2019,120.85
2/13/2019,122.31
2/12/2019,122.63
2/11/2019,120.76
2/10/2019,125.58
2/9/2019,119.46
2/8/2019,119.49
2/7/2019,104.3
2/6/2019,104.5
2/5/2019,106.93
2/4/2019,106.9
2/3/2019,107.21
2/2/2019,111
2/1/2019,107.03
1/31/2019,106.89
1/30/2019,109.04
1/29/2019,104.75
1/28/2019,106.36
1/27/2019,112.27
1/26/2019,116.33
1/25/2019,115.92
1/24/2019,117.7
1/23/2019,117.57
1/22/2019,119.12
1/21/2019,116.72
1/20/2019,118.41
1/19/2019,124.85
1/18/2019,120.57
1/17/2019,123.72
1/16/2019,123.12
1/15/2019,121.22
1/14/2019,129.74
1/13/2019,116.56
1/12/2019,125.83
1/11/2019,127.16
1/10/2019,127.96
1/9/2019,151.17
1/8/2019,151.1
1/7/2019,152.09
1/6/2019,158.61
1/5/2019,156.23
1/4/2019,156.04
1/3/2019,149.44
1/2/2019,156.57
1/1/2019,142.66
12/31/2018,133.49
12/30/2018,141.33
12/29/2018,137.3
12/28/2018,139.73
12/27/2018,116.72
12/26/2018,132.61
12/25/2018,130.99
12/24/2018,140.87
12/23/2018,131.56
12/22/2018,118.36
12/21/2018,109.44
12/20/2018,116.43
12/19/2018,100.63
12/18/2018,102.44
12/17/2018,95.44
12/16/2018,85.39
12/15/2018,84.27
12/14/2018,83.9
12/13/2018,86.39
12/12/2018,90.52
12/11/2018,88.05
12/10/2018,90.7
12/9/2018,94.42
12/8/2018,91.44
12/7/2018,93.61
12/6/2018,90.43
12/5/2018,101.57
12/4/2018,109.82
12/3/2018,108.23
12/2/2018,115.96
12/1/2018,118.5
11/30/2018,112.87
11/29/2018,117.48
11/28/2018,122.88
11/27/2018,110.19
11/26/2018,108.87
11/25/2018,116.75
11/24/2018,112.75
11/23/2018,123.37
11/22/2018,124.83
11/21/2018,136.5
11/20/2018,130.74
11/19/2018,148.22
11/18/2018,177.53
11/17/2018,174.22
11/16/2018,174.84
11/15/2018,181.53
11/14/2018,182.72
11/13/2018,206.42
11/12/2018,210.81
11/11/2018,211.7
11/10/2018,211.9
11/9/2018,209.39
11/8/2018,211.29
11/7/2018,217.99
11/6/2018,219.56
11/5/2018,209.7
11/4/2018,211.3
11/3/2018,199.47
11/2/2018,201.02
11/1/2018,198.73
10/31/2018,197.85
10/30/2018,196.19
10/29/2018,195.67
10/28/2018,203.72
10/27/2018,202.79
10/26/2018,203.37
10/25/2018,201.23
10/24/2018,202.92
10/23/2018,203.7
10/22/2018,203.6
10/21/2018,204.77
10/20/2018,205.08
10/19/2018,202.86
10/18/2018,202.49
10/17/2018,207.6
10/16/2018,210.22
10/15/2018,210.8
10/14/2018,194.99
10/13/2018,199.45
10/12/2018,195.97
10/11/2018,189.83
10/10/2018,225.26
10/9/2018,227.49
10/8/2018,229.33
10/7/2018,225.65
10/6/2018,224.62
10/5/2018,227.9
10/4/2018,221.76
10/3/2018,219.97
10/2/2018,225.41
10/1/2018,230.89
9/30/2018,232.6
9/29/2018,231.32
9/28/2018,221.56
9/27/2018,229.09
9/26/2018,214.21
9/25/2018,219.2
9/24/2018,227.92
9/23/2018,244.55
9/22/2018,240.78
9/21/2018,247.69
9/20/2018,224.76
9/19/2018,209.78
9/18/2018,208.39
9/17/2018,196.04
9/16/2018,220.12
9/15/2018,221.63
9/14/2018,208.87
9/13/2018,211.27
9/12/2018,183.03
9/11/2018,185.15
9/10/2018,197.14
9/9/2018,195.99
9/8/2018,196.77
9/7/2018,215.14
9/6/2018,229.52
9/5/2018,228.27
9/4/2018,285.23
9/3/2018,288.97
9/2/2018,295.02
9/1/2018,295.36
8/31/2018,281.66
8/30/2018,284.15
8/29/2018,288.67
8/28/2018,295.55
8/27/2018,288.02
8/26/2018,274.3
8/25/2018,277.56
8/24/2018,281.37
8/23/2018,275.83
8/22/2018,270.37
8/21/2018,281.13
8/20/2018,270.81
8/19/2018,299.62
8/18/2018,294.85
8/17/2018,317.57
8/16/2018,286.8
8/15/2018,281.24
8/14/2018,278.31
8/13/2018,284.03
8/12/2018,318.2
8/11/2018,318.01
8/10/2018,331.57
8/9/2018,363.51
8/8/2018,355.57
8/7/2018,377.94
8/6/2018,404.95
8/5/2018,408.81
8/4/2018,406.91
8/3/2018,417.62
8/2/2018,410.83
8/1/2018,419.87
7/31/2018,431.99
7/30/2018,456.56
7/29/2018,466.2
7/28/2018,468.55
7/27/2018,469.69
7/26/2018,462.03
7/25/2018,471.28
7/24/2018,479.47
7/23/2018,449.63
7/22/2018,457.65
7/21/2018,461.04
7/20/2018,448.84
7/19/2018,468.65
7/18/2018,479.02
7/17/2018,499.06
7/16/2018,478.75
7/15/2018,449.62
7/14/2018,433.74
7/13/2018,432.46
7/12/2018,430.91
7/11/2018,445.59
7/10/2018,432.69
7/9/2018,471.48
7/8/2018,486.19
7/7/2018,485.81
7/6/2018,469.93
7/5/2018,467.55
7/4/2018,467.19
7/3/2018,461.95
7/2/2018,476.58
7/1/2018,451.95
6/30/2018,453.42
6/29/2018,435.25
6/28/2018,420.72
6/27/2018,441.75
6/26/2018,429.58
6/25/2018,458.82
6/24/2018,455.25
6/23/2018,474.18
6/22/2018,462.16
6/21/2018,525.77
6/20/2018,536.16
6/19/2018,538.45
6/18/2018,517.63
6/17/2018,496.74
6/16/2018,497.22
6/15/2018,487.51
6/14/2018,519.83
6/13/2018,476.3
6/12/2018,494.53
6/11/2018,531.15
6/10/2018,524.74
6/9/2018,593.38
6/8/2018,599.55
6/7/2018,604.44
6/6/2018,606.3
6/5/2018,608.23
6/4/2018,591.31
6/3/2018,619.04
6/2/2018,590.53
6/1/2018,579.01
5/31/2018,577.23
5/30/2018,557.12
5/29/2018,566.59
5/28/2018,512.03
5/27/2018,569.64
5/26/2018,585.76
5/25/2018,584.77
5/24/2018,602.59
5/23/2018,577.01
5/22/2018,640.84
5/21/2018,696.73
5/20/2018,715.15
5/19/2018,696.05
5/18/2018,693.57
5/17/2018,668.38
5/16/2018,706.72
5/15/2018,705.64
5/14/2018,727.41
5/13/2018,729.34
5/12/2018,683.64
5/11/2018,677.8
5/10/2018,723.61
5/9/2018,751.27
5/8/2018,747.79
5/7/2018,752.4
5/6/2018,790.39
5/5/2018,816.58
5/4/2018,784.21
5/3/2018,777.62
5/2/2018,686.74
5/1/2018,670.81
4/30/2018,670.04
4/29/2018,689.31
4/28/2018,683.02
4/27/2018,643.33
4/26/2018,661.45
4/25/2018,617.73
4/24/2018,703.35
4/23/2018,644.13
4/22/2018,621.33
4/21/2018,605.17
4/20/2018,617.16
4/19/2018,567.25
4/18/2018,525.78
4/17/2018,503.03
4/16/2018,511.67
4/15/2018,534.15
4/14/2018,502.79
4/13/2018,494.96
4/12/2018,493.95
4/11/2018,430.42
4/10/2018,415.65
4/9/2018,399.02
4/8/2018,400.72
4/7/2018,384.98
4/6/2018,370.35
4/5/2018,381.36
4/4/2018,378.65
4/3/2018,415.93
4/2/2018,384.68
4/1/2018,378.85
3/31/2018,394.07
3/30/2018,393.82
3/29/2018,383.9
3/28/2018,445.93
3/27/2018,448.78
3/26/2018,486.25
3/25/2018,523.01
3/24/2018,520.16
3/23/2018,543.83
3/22/2018,539.89
3/21/2018,559.91
3/20/2018,557.57
3/19/2018,555.55
3/18/2018,537.38
3/17/2018,549.79
3/16/2018,600.53
3/15/2018,610.56
3/14/2018,613.15
3/13/2018,689.96
3/12/2018,697.02
3/11/2018,720.36
3/10/2018,682.3
3/9/2018,726.92
3/8/2018,698.83
3/7/2018,751.13
3/6/2018,815.69
3/5/2018,849.42
3/4/2018,864.83
3/3/2018,855.65
3/2/2018,855.6
3/1/2018,869.87
2/28/2018,851.5
2/27/2018,871.58
2/26/2018,867.62
2/25/2018,840.28
2/24/2018,833.49
2/23/2018,854.7
2/22/2018,804.63
2/21/2018,840.1
2/20/2018,885.52
2/19/2018,939.79
2/18/2018,913.9
2/17/2018,974.77
2/16/2018,938.02
2/15/2018,927.95
2/14/2018,920.11
2/13/2018,840.98
2/12/2018,865.27
2/11/2018,811.24
2/10/2018,850.75
2/9/2018,877.88
2/8/2018,813.55
2/7/2018,751.81
2/6/2018,785.01
2/5/2018,695.08
2/4/2018,827.59
2/3/2018,970.87
2/2/2018,917.47
2/1/2018,1026.19
1/31/2018,1111.31
1/30/2018,1063.75
1/29/2018,1169.96
1/28/2018,1231.58
1/27/2018,1109.08
1/26/2018,1048.58
1/25/2018,1046.37
1/24/2018,1061.78
1/23/2018,984.47
1/22/2018,999.64
1/21/2018,1049.09
1/20/2018,1150.5
1/19/2018,1037.36
1/18/2018,1012.97
1/17/2018,1024.69
1/16/2018,1050.26
1/15/2018,1278.69
1/14/2018,1359.48
1/13/2018,1385.02
1/12/2018,1261.03
1/11/2018,1139.32
1/10/2018,1248.99
1/9/2018,1289.24
1/8/2018,1136.11
1/7/2018,1117.75
1/6/2018,1006.41
1/5/2018,967.13
1/4/2018,944.83
1/3/2018,941.1
1/2/2018,861.97
1/1/2018,756.2
12/31/2017,741.13
12/30/2017,692.99
12/29/2017,739.6
12/28/2017,716.69
12/27/2017,739.94
12/26/2017,753.4
12/25/2017,723.14
12/24/2017,675.91
12/23/2017,700.44
12/22/2017,657.83
12/21/2017,789.39
12/20/2017,799.17
12/19/2017,812.5
12/18/2017,785.99
12/17/2017,717.71
12/16/2017,692.83
12/15/2017,684.27
12/14/2017,693.58
12/13/2017,699.09
12/12/2017,656.52
12/11/2017,513.29
12/10/2017,436.49
12/9/2017,472.86
12/8/2017,451.74
12/7/2017,421.15
12/6/2017,422.48
12/5/2017,453.96
12/4/2017,466.93
12/3/2017,462.81
12/2/2017,457.96
12/1/2017,461.58
11/30/2017,434.85
11/29/2017,427.42
11/28/2017,466.27
11/27/2017,475.24
11/26/2017,470.54
11/25/2017,464.61
11/24/2017,470.43
11/23/2017,406.57
11/22/2017,380.84
11/21/2017,360.52
11/20/2017,367.71
11/19/2017,354.6
11/18/2017,346.65
11/17/2017,331.72
11/16/2017,330.32
11/15/2017,331.2
11/14/2017,334.72
11/13/2017,314.6
11/12/2017,306.02
11/11/2017,314.23
11/10/2017,296.86
11/9/2017,319.66
11/8/2017,307.35
11/7/2017,291.84
11/6/2017,296.82
11/5/2017,296.23
11/4/2017,300.04
11/3/2017,304.51
11/2/2017,284.92
11/1/2017,289.42
10/31/2017,303.64
10/30/2017,306.8
10/29/2017,304.04
10/28/2017,293.35
10/27/2017,296.36
10/26/2017,295.54
10/25/2017,296.35
10/24/2017,296.5
10/23/2017,285.27
10/22/2017,294.03
10/21/2017,299.55
10/20/2017,303.08
10/19/2017,307.41
10/18/2017,313.54
10/17/2017,316.14
10/16/2017,334.23
10/15/2017,336.58
10/14/2017,338.81
10/13/2017,336.83
10/12/2017,302.89
10/11/2017,302.86
10/10/2017,298.46
10/9/2017,296.95
10/8/2017,309.49
10/7/2017,311.26
10/6/2017,308.33
10/5/2017,294.99
10/4/2017,291.68
10/3/2017,291.81
10/2/2017,296.81
10/1/2017,303.95
9/30/2017,302.77
9/29/2017,292.58
9/28/2017,302.77
9/27/2017,309.97
9/26/2017,288.64
9/25/2017,294.89
9/24/2017,282.6
9/23/2017,286.14
9/22/2017,262.94
9/21/2017,257.77
9/20/2017,283.56
9/19/2017,283
9/18/2017,297.53
9/17/2017,258.4
9/16/2017,254.49
9/15/2017,259.57
9/14/2017,223.14
9/13/2017,275.84
9/12/2017,294.1
9/11/2017,297.95
9/10/2017,299.21
9/9/2017,303.79
9/8/2017,306.72
9/7/2017,335.37
9/6/2017,338.92
9/5/2017,317.94
9/4/2017,303.7
9/3/2017,352.45
9/2/2017,351.03
9/1/2017,391.42
8/31/2017,388.33
8/30/2017,383.86
8/29/2017,372.35
8/28/2017,347.66
8/27/2017,347.88
8/26/2017,332.86
8/25/2017,330.06
8/24/2017,325.28
8/23/2017,317.4
8/22/2017,313.37
8/21/2017,321.85
8/20/2017,298.2
8/19/2017,293.02
8/18/2017,292.62
8/17/2017,300.3
8/16/2017,301.38
8/15/2017,286.52
8/14/2017,299.16
8/13/2017,296.62
8/12/2017,308.02
8/11/2017,309.32
8/10/2017,298.28
8/9/2017,295.28
8/8/2017,296.51
8/7/2017,269.94
8/6/2017,264.56
8/5/2017,253.09
8/4/2017,220.6
8/3/2017,224.39
8/2/2017,218.12
8/1/2017,225.9
7/31/2017,201.33
7/30/2017,196.78
7/29/2017,206.14
7/28/2017,191.21
7/27/2017,202.93
7/26/2017,202.88
7/25/2017,203.59
7/24/2017,225.48
7/23/2017,228.32
7/22/2017,230.47
7/21/2017,216.33
7/20/2017,226.33
7/19/2017,194.41
7/18/2017,227.09
7/17/2017,189.97
7/16/2017,155.42
7/15/2017,169.1
7/14/2017,197.14
7/13/2017,205.41
7/12/2017,224.15
7/11/2017,190.55
7/10/2017,205.76
7/9/2017,237.72
7/8/2017,245.67
7/7/2017,240.94
7/6/2017,265.88
7/5/2017,266
7/4/2017,269.05
7/3/2017,276.41
7/2/2017,283.99
7/1/2017,261
6/30/2017,280.68
6/29/2017,292.9
6/28/2017,315.86
6/27/2017,286.14
6/26/2017,253.68
6/25/2017,279.36
6/24/2017,304.54
6/23/2017,326.85
6/22/2017,320.97
6/21/2017,325.3
6/20/2017,350.53
6/19/2017,358.2
6/18/2017,351.53
6/17/2017,368.1
6/16/2017,353.61
6/15/2017,344.68
6/14/2017,343.84
6/13/2017,388.09
6/12/2017,394.66
6/11/2017,339.68
6/10/2017,335.95
6/9/2017,279.11
6/8/2017,259.41
6/7/2017,255.77
6/6/2017,264.26
6/5/2017,247.75
6/4/2017,244.96
6/3/2017,224.3
6/2/2017,222.04
6/1/2017,220.7
5/31/2017,228.64
5/30/2017,228.58
5/29/2017,194.17
5/28/2017,172.86
5/27/2017,156.63
5/26/2017,162.83
5/25/2017,177.33
5/24/2017,193.03
5/23/2017,169.5
5/22/2017,160.39
5/21/2017,148
5/20/2017,123.06
5/19/2017,124.38
5/18/2017,95.88
5/17/2017,86.98
5/16/2017,87.8
5/15/2017,90.32
5/14/2017,88.72
5/13/2017,87.96
5/12/2017,85.15
5/11/2017,88.2
5/10/2017,87.83
5/9/2017,86.27
5/8/2017,88.39
5/7/2017,90.46
5/6/2017,94.82
5/5/2017,90.79
5/4/2017,94.55
5/3/2017,80.37
5/2/2017,77.25
5/1/2017,77.53
4/30/2017,79.83
4/29/2017,69.83
4/28/2017,72.42
4/27/2017,63.14
4/26/2017,53.28
4/25/2017,50.09
4/24/2017,49.94
4/23/2017,48.75
4/22/2017,48.41
4/21/2017,48.27
4/20/2017,49.36
4/19/2017,47.88
4/18/2017,49.88
4/17/2017,47.94
4/16/2017,48.22
4/15/2017,48.89
4/14/2017,47.32
4/13/2017,49.97
4/12/2017,46.38
4/11/2017,43.74
4/10/2017,43.74
4/9/2017,43.72
4/8/2017,44.37
4/7/2017,42.31
4/6/2017,43.23
4/5/2017,44.9
4/4/2017,44.43
4/3/2017,44.13
4/2/2017,48.55
4/1/2017,50.6
3/31/2017,49.91
3/30/2017,51.91
3/29/2017,53.07
3/28/2017,50.25
3/27/2017,49.06
3/26/2017,50.63
3/25/2017,50.62
3/24/2017,53.19
3/23/2017,43.2
3/22/2017,41.65
3/21/2017,42.67
3/20/2017,42.51
3/19/2017,43.12
3/18/2017,34
3/17/2017,44.48
3/16/2017,45.51
3/15/2017,35.18
3/14/2017,28.58
3/13/2017,28.45
3/12/2017,23.31
3/11/2017,21.45
3/10/2017,19.13
3/9/2017,17.71
3/8/2017,16.54
3/7/2017,18.91
3/6/2017,19.75
3/5/2017,19.22
3/4/2017,18.61
3/3/2017,19.48
3/2/2017,19.08
3/1/2017,17.55
2/28/2017,16.07
2/27/2017,15.55
2/26/2017,14.59
2/25/2017,13.57
2/24/2017,13.11
2/23/2017,13.13
2/22/2017,12.69
2/21/2017,12.77
2/20/2017,12.52
2/19/2017,12.82
2/18/2017,12.83
2/17/2017,12.72
2/16/2017,12.95
2/15/2017,12.97
2/14/2017,13
2/13/2017,11.39
2/12/2017,11.42
2/11/2017,11.43
2/10/2017,11.34
2/9/2017,10.94
2/8/2017,11.39
2/7/2017,11.45
2/6/2017,11.32
2/5/2017,11.22
2/4/2017,11.32
2/3/2017,10.95
2/2/2017,10.78
2/1/2017,10.71
1/31/2017,10.71
1/30/2017,10.62
1/29/2017,10.47
1/28/2017,10.54
1/27/2017,10.51
1/26/2017,10.65
1/25/2017,10.51
1/24/2017,10.51
1/23/2017,10.78
1/22/2017,10.71
1/21/2017,10.91
1/20/2017,10.6
1/19/2017,10.43
1/18/2017,10.19
1/17/2017,10.14
1/16/2017,9.59
1/15/2017,9.88
1/14/2017,9.78
1/13/2017,9.78
1/12/2017,9.81
1/11/2017,9.83
1/10/2017,10.55
1/9/2017,10.2
1/8/2017,10.27
1/7/2017,9.78
1/6/2017,10.07
1/5/2017,10.2
1/4/2017,10.88
1/3/2017,9.59
1/2/2017,8.33
1/1/2017,8.14
12/31/2016,8.05
12/30/2016,8.16
12/29/2016,8.21
12/28/2016,7.57
12/27/2016,7.15
12/26/2016,7.21
12/25/2016,7.19
12/24/2016,7.23
12/23/2016,7.16
12/22/2016,7.64
12/21/2016,7.87
12/20/2016,7.59
12/19/2016,7.61
12/18/2016,7.89
12/17/2016,7.66
12/16/2016,7.85
12/15/2016,7.76
12/14/2016,8.23
12/13/2016,8.4
12/12/2016,8.45
12/11/2016,8.2
12/10/2016,8.09
12/9/2016,8.52
12/8/2016,8.3
12/7/2016,8.35
12/6/2016,7.61
12/5/2016,6.69
12/4/2016,7.54
12/3/2016,7.9
12/2/2016,7.65
12/1/2016,8.44
11/30/2016,8.59
11/29/2016,8.18
11/28/2016,8.66
11/27/2016,8.91
11/26/2016,9.34
11/25/2016,9.39
11/24/2016,9.22
11/23/2016,9.78
11/22/2016,9.84
11/21/2016,9.56
11/20/2016,9.57
11/19/2016,9.7
11/18/2016,9.53
11/17/2016,9.95
11/16/2016,10.01
11/15/2016,10.22
11/14/2016,10
11/13/2016,10.13
11/12/2016,9.96
11/11/2016,10.29
11/10/2016,10.52
11/9/2016,10.64
11/8/2016,10.86
11/7/2016,10.9
11/6/2016,10.97
11/5/2016,11.11
11/4/2016,11.13
11/3/2016,10.86
11/2/2016,10.82
11/1/2016,10.75
10/31/2016,10.91
10/30/2016,11.22
10/29/2016,10.39
10/28/2016,11.08
10/27/2016,11.43
10/26/2016,11.5
10/25/2016,11.38
10/24/2016,11.93
10/23/2016,11.95
10/22/2016,12.06
10/21/2016,12.07
10/20/2016,12.05
10/19/2016,11.98
10/18/2016,12.5
10/17/2016,11.98
10/16/2016,11.93
10/15/2016,11.96
10/14/2016,11.9
10/13/2016,12.02
10/12/2016,11.77
10/11/2016,11.75
10/10/2016,11.74
10/9/2016,12.06
10/8/2016,12.24
10/7/2016,12.68
10/6/2016,12.87
10/5/2016,13.09
10/4/2016,13.32
10/3/2016,13.45
10/2/2016,13.23
10/1/2016,13.21
9/30/2016,13.24
9/29/2016,13.17
9/28/2016,13.3
9/27/2016,13.09
9/26/2016,12.89
9/25/2016,13.05
9/24/2016,12.91
9/23/2016,13.36
9/22/2016,13.11
9/21/2016,13.72
9/20/2016,14.72
9/19/2016,12.93
9/18/2016,12.39
9/17/2016,12.83
9/16/2016,12.61
9/15/2016,11.96
9/14/2016,11.97
9/13/2016,11.92
9/12/2016,11.89
9/11/2016,11.64
9/10/2016,12.05
9/9/2016,11.72
9/8/2016,11.39
9/7/2016,11.59
9/6/2016,11.7
9/5/2016,11.75
9/4/2016,11.71
9/3/2016,11.85
9/2/2016,12.08
9/1/2016,12.21
8/31/2016,11.55
8/30/2016,11.21
8/29/2016,10.95
8/28/2016,10.99
8/27/2016,11.19
8/26/2016,11.26
8/25/2016,11.35
8/24/2016,11.01
8/23/2016,11.01
8/22/2016,11.07
8/21/2016,11.14
8/20/2016,11.28
8/19/2016,10.71
8/18/2016,10.77
8/17/2016,10.77
8/16/2016,11.17
8/15/2016,11.21
8/14/2016,11.21
8/13/2016,11.56
8/12/2016,11.78
8/11/2016,11.68
8/10/2016,12.22
